candidate_id,source,title,composer_normalized,era,dummy_grade,dummy_grade_source,rationale
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/air-on-the-g-string/air-on-the-g-string.musicxml,github,Air on the G String,Johann Sebastian Bach,Baroque,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/BachJS/BWV1006a/bwv-1006a_3g/bwv-1006a_3g#movement01,mutopia,Suite E-Dur - BWV 1006a,Johann Sebastian Bach,Baroque,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/BachJS/BWV1006a/bwv-1006a_1g/bwv-1006a_1g#movement01,mutopia,Suite E-Dur - BWV 1006a,Johann Sebastian Bach,Baroque,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/BachJS/BWV1006a/bwv-1006a_2g/bwv-1006a_2g#movement01,mutopia,Suite E-Dur - BWV 1006a,Johann Sebastian Bach,Baroque,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/romanza.musicxml,github,Romanza (Spanish Romance),Anonymous,Renaissance,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:anonymous/andante/andante.musicxml,github,Andante,Anonymous,Renaissance,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/Anonymous/spanish-romance/spanish-romance#movement01,mutopia,Spanish Romance,Anonymous,Renaissance,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/asturias-theme.musicxml,github,Asturias (Leyenda) - Theme,Isaac Albéniz,Unknown,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/am-dm-e-progression.musicxml,github,Am - Dm - E Progression,Exercise,Unknown,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:ernesto-nazareth/odeon/odeon.musicxml,github,Odeon,Ernesto Nazareth,Unknown,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:ThePython10110/MuseScore@master:Converted/MusicXML/Silksong/Choral Chambers on guitar (Silksong).musicxml,github,Choral Chambers (Silksong),"Christopher Larkin, Arranged by Beyond the Guitar",Unknown,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/farruca.musicxml,github,Farruca,Traditional Flamenco,Unknown,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/basic-open-chords.musicxml,github,Basic Open Chords,Exercise,Unknown,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/bourree/bourree.musicxml,github,Bourreé,J. S. Bach,Unknown,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:antonio-rovira/romance-de-amor/romance-de-amor.musicxml,github,Romance de Amor,Antonio Rovira,Unknown,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/first-string-notes.musicxml,github,Notes on the High E String,Exercise,Unknown,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:arhanv/ug-dataset@main:dataset-converted-xml/Open D/Metal/Criminal - New Disorder.musicxml,github,new disorder,riffman hansgtr@hotmail.com,Unknown,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/jesu-joy-of-mans-desiring/jesu-joy-of-mans-desiring.musicxml,github,"Jesu,  Joy of Man's Desiring",J. S. Bach,Unknown,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:dilermando-reis/se-ela-perguntar/se-ela-perguntar.musicxml,github,Se Ela Perguntar,Dilermando Reis,Unknown,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/greensleeves.musicxml,github,Greensleeves,Traditional English,Unknown,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:moisur/courstrompette@master:public/Wikifonia.rendered/lee konitz - subconscious lee.musicxml,github,subconscious lee,lee konitz,Unknown,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/minueto-I/minueto-I.musicxml,github,Minueto I,J. S. Bach,Unknown,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:paulinho-nogueira/bachianinha-1/bachianinha-1.musicxml,github,Bachianinha Nº 1,Paulinho Nogueira,Unknown,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
