composer,era
Silvius Leopold WEISS,baroque
Silvius Leopold Weiss,baroque
Simon Ives,baroque
Sylvius Leopold Weiss,baroque
Thomas Robinson,renaissance
Thomas Smyth,baroque
Thomas Vautor (Cosens Lute Book,renaissance
Tobias Hume,renaissance
Traditional English,traditional
Traditional Flamenco,traditional
Traditional Spanish,traditional
Waldyr Azevedo,modern
Wenzel Thomas Matiegka,classical
William Corkine,renaissance
William Hollis,unknown
William Lawes,baroque
Zacar,unknown
after Jean Mercure,baroque
after John Dowland,renaissance
lee konitz,modern
riffman hansgtr@hotmail.com,unknown
河北民歌,traditional
"[Manuscrit d'Haslemere, Dolmetsch library II D 2, folio 119]",baroque
Luigi Legnani,romantic
Ferdinando Carulli,classical
Ferdinando Carulli (1770-1841),classical
Johann Pachelbel,baroque
Johann Pachelbel (1653-1706),baroque
François Campion,baroque
Giulio Regondi,romantic
Giulio Regondi (tabbed by Classical Guitar Empire),romantic
H.Purcel,baroque
Bach,baroque
Johann Sebastian BACH,baroque
Johann Sebastian Guitar Bach - BWV Anh. 114,baroque
Vivaldi,baroque
Domenico Scarlatti,baroque
Napoleon Coste,romantic
Napoleon Coste (1805-1883),romantic
G. Sanz,baroque
Gaspar Sanz,baroque
Alonzo Mudarra,renaissance
Carbonelli Giovanni Stefano (1690-1772),baroque
Gustav Holst,modern
Franz Schubert,romantic
Franz Schubert arr Johann Kaspar Mertz,romantic
P.I.Tchaikovsky,romantic
FERNANDO SOR,classical
Ф. Сор,classical
И.С. Бах,baroque
Francisco Tarrega (1852-1909),romantic
Issac Albéniz,romantic
Joaquín Turina Pérez,modern
Joaquín Turina Pérez (1882 - 1949),modern
Anonymous,renaissance
Anonyme,renaissance
Traditional,traditional
Trad.,traditional
French Traditional,traditional
L V Bethoven,classical
L. V. Beethoven,classical
Alexandre Tansman,modern
Manuel M. Ponce,modern
Manuel Ponce,modern
Antonio J. Manjon (1866 - 1919),romantic
Antonio Manjón,romantic
Roland Dyens,modern
Pascual Roch,romantic
Elomar Figueira Mello,modern
Django Reinhardt,modern
Stanley Myers,modern
